着順,枠番,馬番,馬名,年齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重（増減）,is_top3,距離,種類,天候,馬場
5.0,1,1,フリアフロリダ,牝3,53.0,北村友,1:09.1,1/2,1,3.9,34.6,8-8,栗東小栗,458(+2),0,1200,芝,曇,良
6.0,5,9,ロネット,牝3,53.0,△長浜,1:09.2,1/2,5,6.7,35.1,5-4,栗東浜田,422(+2),0,1200,芝,曇,良
7.0,2,4,ファリア,牡3,54.0,▲古川奈,1:09.3,3/4,15,231.7,34.5,13-11,美浦土田,446(+2),0,1200,芝,曇,良
8.0,6,12,グリフォン,牝3,55.0,鮫島駿,1:09.4,3/4,3,5.6,34.8,12-11,栗東小椋,424(+4),0,1200,芝,曇,良
9.0,3,5,ゴールドサニーデイ,牝3,55.0,藤岡佑,1:09.5,クビ,6,9.6,34.6,13-15,栗東渡辺,418(+4),0,1200,芝,曇,良
10.0,4,8,デルタニュートラル,牝3,52.0,▲上里,1:09.6,3/4,12,71.7,35.2,8-8,美浦加藤士,420(-10),0,1200,芝,曇,良
11.0,7,13,ユウグレ,牝3,52.0,▲舟山,1:09.6,アタマ,11,49.7,35.7,3-4,美浦宮田,452(+8),0,1200,芝,曇,良
12.0,1,2,ブラックティンカー,牝3,55.0,吉田隼,1:09.7,クビ,4,6.1,35.5,5-7,美浦和田雄,440(+6),0,1200,芝,曇,良
13.0,8,15,ニシノコイブミ,牝3,55.0,武豊,1:09.8,1/2,2,5.1,35.0,13-14,美浦西田,422(-6),0,1200,芝,曇,良
14.0,2,3,クレドール,牝3,55.0,原田和,1:09.8,ハナ,13,140.2,35.3,8-10,美浦小笠,468(0),0,1200,芝,曇,良
15.0,7,14,アドバンスオーセン,牡3,54.0,▲川端,1:10.2,2.1/2,16,323.1,35.1,16-16,栗東森秀,432(+2),0,1200,芝,曇,良
16.0,8,16,シルフラ,牝3,55.0,佐々木,1:10.9,4,8,24.8,36.5,8-11,美浦大竹,450(-2),0,1200,芝,曇,良
1.0,1,1,メイショウホダワラ,牝3,55.0,丹内,0:59.3,,1,1.7,36.3,1-1,栗東荒川,474(-2),1,1000,ダート,曇,良
2.0,7,9,フォレストオール,牝3,53.0,△長浜,0:59.6,1.1/2,2,5.6,36.5,2-2,美浦栗田,440(-8),1,1000,ダート,曇,良
3.0,6,7,バースフラワー,牝3,51.0,★小林美,0:59.7,3/4,4,8.7,36.2,4-4,美浦小手川,448(+2),1,1000,ダート,曇,良
4.0,7,10,ハイエンドモデル,牝3,55.0,武藤,0:59.7,ハナ,3,6.0,36.5,2-3,美浦武藤,454(+18),0,1000,ダート,曇,良
5.0,4,4,テーオーテバルディ,牝3,52.0,▲和田陽,0:59.9,1,8,37.4,36.0,8-7,栗東藤野,446(0),0,1000,ダート,曇,良
6.0,5,6,グランシャット,牝3,52.0,▲上里,0:59.9,クビ,11,54.2,35.9,9-10,美浦宮田,440(-8),0,1000,ダート,曇,良
7.0,5,5,デンリッレハウエル,牝3,55.0,鮫島駿,1:00.4,3,7,34.1,36.4,9-7,美浦林,420(+18),0,1000,ダート,曇,良
8.0,8,12,テーオーシュターデ,牝3,52.0,▲橋木,1:00.5,1/2,9,45.2,36.8,6-7,栗東宮,432(+4),0,1000,ダート,曇,良
9.0,8,11,サトミノマリア,牝3,52.0,▲舟山,1:00.7,1.1/4,10,46.7,36.2,12-11,美浦鈴木伸,480(-14),0,1000,ダート,曇,良
10.0,6,8,エファセデリエール,牝3,55.0,佐々木,1:00.7,ハナ,5,18.4,36.4,11-11,美浦伊坂,476(-4),0,1000,ダート,曇,良
11.0,3,3,キムケンフォトン,牝3,55.0,吉田隼,1:00.8,3/4,12,216.6,37.2,6-4,栗東矢作,426(-6),0,1000,ダート,曇,良
12.0,2,2,エイシンカリス,牝3,55.0,川又,1:01.6,5,6,27.4,38.2,4-4,栗東吉村,440(+6),0,1000,ダート,曇,良
1.0,7,10,サンライズバレット,牡3,57.0,鮫島駿,1:46.1,,2,3.4,38.3,6-6-2-2,栗東茶木,506(0),1,1700,ダート,晴,良
2.0,6,9,メイショウタイピン,牡3,57.0,横山和,1:47.0,5,1,2.9,39.0,10-10-4-4,栗東飯田,502(+4),1,1700,ダート,晴,良
3.0,1,1,キンセンオー,牡3,54.0,▲和田陽,1:47.7,4,5,12.4,40.0,2-2-1-1,栗東中尾,486(+6),1,1700,ダート,晴,良
4.0,8,13,ジョードリウム,牡3,57.0,横山武,1:47.7,クビ,3,6.3,39.1,8-8-10-8,栗東清水久,504(0),0,1700,ダート,晴,良
5.0,4,4,フルセンド,牝3,54.0,☆松本,1:47.8,クビ,9,30.8,39.6,4-4-5-6,栗東福永,464(+4),0,1700,ダート,晴,良
6.0,8,12,ニホンピロカスター,牡3,54.0,▲森田,1:47.9,クビ,10,39.9,39.6,3-3-5-7,栗東大橋,470(+4),0,1700,ダート,晴,良
7.0,5,6,オドラニャソンソン,牡3,54.0,▲舟山,1:48.0,1,11,64.0,39.8,6-6-5-5,栗東東田,452(-6),0,1700,ダート,晴,良
8.0,3,3,トモジャイブ,牡3,57.0,古川吉,1:48.3,1.3/4,4,8.3,39.5,10-10-11-10,栗東大根田,484(+2),0,1700,ダート,晴,良
9.0,2,2,ヴィータレヴィス,牡3,57.0,北村友,1:48.6,1.3/4,6,13.7,40.8,1-1-2-2,栗東池添,484(0),0,1700,ダート,晴,良
10.0,4,5,インターステラ,牡3,55.0,△長浜,1:48.6,クビ,8,26.6,40.1,8-8-8-8,美浦中舘,478(+6),0,1700,ダート,晴,良
11.0,7,11,レヴァンティス,牝3,55.0,佐々木,1:50.2,10,12,116.6,41.8,4-4-8-11,栗東友道,458(-8),0,1700,ダート,晴,良
12.0,5,7,デルマイオ,牡3,54.0,▲鷲頭,1:51.7,9,13,267.0,42.5,12-12-12-12,栗東畑端,466(-6),0,1700,ダート,晴,良
13.0,6,8,ナルサー,牡3,53.0,★小林美,1:52.3,3.1/2,7,16.3,41.3,13-13-13-13,美浦武市,492(+8),0,1700,ダート,晴,良
