着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重(増減),is_top3,距離,種類,天候,馬場
2.0,6,7,コッコラーレ,牝3,51.0,★小林美,0:59.3,1.1/2,3,3.7,35.9,1-1,栗東鈴木孝,482(+4),1,1000,ダート,曇,良
3.0,8,12,ショウナンラリー,牡3,57.0,横山和,0:59.7,2,2,3.5,36.1,2-2,美浦嘉藤,488(-6),1,1000,ダート,曇,良
4.0,4,4,ダブルシルバー,牡3,54.0,▲柴田裕,1:00.0,1.3/4,6,14.8,36.0,6-5,栗東小椋,468(+6),0,1000,ダート,曇,良
5.0,5,5,オンサイト,牡3,54.0,▲橋木,1:00.2,1.1/2,10,54.0,36.5,3-4,美浦小西,462(-6),0,1000,ダート,曇,良
6.0,2,2,サッポロキタコ,牝3,52.0,▲森田,1:00.4,1,1,3.1,36.0,9-9,栗東田中克,472(-6),0,1000,ダート,曇,良
7.0,8,11,バスキュラリティ,牡3,57.0,鮫島駿,1:00.5,1/2,7,34.3,36.6,6-5,栗東羽月,460(-4),0,1000,ダート,曇,良
8.0,1,1,メイショウハボマイ,牡3,56.0,☆松本,1:00.5,クビ,4,9.3,36.4,8-8,栗東本田,466(+2),0,1000,ダート,曇,良
9.0,3,3,ウォーターカルミア,牝3,52.0,▲和田陽,1:00.6,3/4,8,40.5,36.0,11-11,栗東藤野,406(+6),0,1000,ダート,曇,良
10.0,7,10,ドラマツルギー,牝3,55.0,古川吉,1:00.8,1.1/4,11,62.7,35.5,12-12,栗東大根田,426(-2),0,1000,ダート,曇,良
11.0,6,8,ママアリガトー,牝3,55.0,小林脩,1:00.9,1/2,12,84.3,36.5,9-9,美浦石栗,430(+6),0,1000,ダート,曇,良
12.0,7,9,ブラックエトワール,牝3,55.0,丹内,1:02.7,大,9,42.7,39.0,3-5,美浦新開,446(-8),0,1000,ダート,曇,良
1.0,2,2,ペイシャアーサー,牡3,57.0,丹内,1:09.1,,2,3.3,34.8,1-1,美浦本間,454(-2),1,1200,芝,曇,良
2.0,6,7,ヒロノエクスカリバ,牡3,57.0,菅原隆,1:09.3,1,7,39.5,34.5,6-6,美浦小手川,442(+2),1,1200,芝,曇,良
3.0,7,9,ブラヴォケラトプス,牡3,53.0,★小林美,1:09.5,1.1/2,5,11.5,34.0,12-11,美浦辻,506(-4),1,1200,芝,曇,良
4.0,7,10,ロードステイタス,牡3,57.0,中井,1:09.6,クビ,6,22.1,34.8,6-6,栗東四位,456(+2),0,1200,芝,曇,良
5.0,5,6,アンビシャスヨシノ,牡3,56.0,☆松本,1:09.6,ハナ,3,5.9,35.2,2-2,栗東吉田,466(-2),0,1200,芝,曇,良
6.0,5,5,タッカーバリアント,牡3,57.0,鮫島駿,1:09.6,ハナ,4,9.6,35.0,3-4,美浦田島,468(0),0,1200,芝,曇,良
